"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
4802,"あの怪物が何か、知っているのですか？",,,,"你知道那个怪物是什么吗？","你知道那個怪物是什麼嗎？",,
4803,"いや、それはわからない。",,,,"不，不知道。","不，不知道。",,
4804,"だが、あれが何者かの手によって造られたものだという",,,,"但是我知道那个是某人创造出来的东西。","但是我知道那個是某人創造出來的東西。",,
4805,"ことはわかる。",,,,,,,
4806,"では、怪物を造った者が今回の原因であるということ",,,,"那么，那个制造怪物的人，就是这次事件的主因吗？","那麼，那個製造怪物的人，就是這次事件的主因嗎？",,
4807,"でしょうか？",,,,,,,
4808,"あれを追い詰めればわかるかもしれない。",,,,"不追上那怪物的话，就无法得知。","不追上那怪物的話，就無法得知。",,
4809,"だが、大人しく目的を話す者とは思えないがね。",,,,"但是，那怪物看起来不会乖乖跟我们说话。","但是，那怪物看起來不會乖乖跟我們說話。",,
4810,"魂、か……",,,,"灵魂，吗……","靈魂，嗎……",,
4811,"浮かない顔をしていますね。",,,,"你看起来无法接受的样子。","你看起來無法接受的樣子。",,
4812,"いや、魂というものの実存性と、その在り方について",,,,"不，我是在想，灵魂这个东西的实际存在性，","不，我是在想，靈魂這個東西的實際存在性，",,
4813,"考えていた。",,,,"思考灵魂的存在方式。","思考靈魂的存在方式。",,
4814,"実存ですか。この世界にいることがその証明なのでは？",,,,"实际存在吗？　从你们存在于这个世界这一点，","實際存在嗎？　從你們存在於這個世界這一點，",,
4815,"だとすれば私は……。",,,,"就可以证明了不是吗？","就可以證明了不是嗎？",,
4816,"いや、この問題を考える前に、館の蔦を早く除去した",,,,"如果是这样的话，那我……。","如果是這樣的話，那我……。",,
4817,"ほうが良いな。",,,,"不，考虑这个问题之前，应该先把馆邸的藤蔓去除掉比较好吧。","不，考慮這個問題之前，應該先把館邸的藤蔓去除掉比較好吧。",,
4818,"それはそうですが、蔦を制御する機械は怪物が壊して",,,,"是没错，但是控制藤蔓的机器已经被怪物破坏掉了。","是沒錯，但是控制藤蔓的機器已經被怪物破壞掉了。",,
4819,"しまいました。",,,,,,,
4820,"このままだとどの様な影響が館に及ぶかわかりません。",,,,"这样下去的话，不知道会给馆邸带来什么影响。","這樣下去的話，不知道會給館邸帶來什麼影響。",,
4821,"機械の損壊は酷いが、部品さえ集められれば",,,,"虽然机器坏得很严重，只要收集好零件的话，","雖然機器壞得很嚴重，只要收集好零件的話，",,
4822,"修理は可能そうだ。",,,,"应该可以修好。","應該可以修好。",,
4823,"怪物が壊した衝撃でかなり散らばってしまいましたが、",,,,"因为怪物破坏的冲击力，造成零件散落，","因為怪物破壞的衝擊力，造成零件散落，",,
4824,"集めることはそう難しくない筈です。",,,,"但应该不难收集才对。","但應該不難收集才對。",,
4825,"そうだな、急ぐとしようか。",,,,"是啊，快走吧。","是啊，快走吧。",,
4826,"知能があるような動きは見せないのに撤退戦を図るとは。",,,,"看起来明明不像是有智慧的行动，但是竟然谋略撤退战。","看起來明明不像是有智慧的行動，但是竟然謀略撤退戰。",,
4827,"一体あれは何なんだろうか？",,,,"那个到底是什么？","那個到底是什麼？",,
4828,"継ぎ接ぎの姿も不気味です。",,,,"身体都是拼接的，看起来很不舒服。","身體都是拼接的，看起來很不舒服。",,
4829,"……何者かが背後であの怪物を操っている可能性がある。",,,,"……看起来那个怪物后面，有可能是什么人在操控的。","……看起來那個怪物後面，有可能是什麼人在操控的。",,
4830,"急いだほうがよさそうですね。",,,,"看来要尽快追上去才行了。","看來要盡快追上去才行了。",,
4831,"そうだな。怪物を追い詰め、機械を奪取するぞ。",,,,"没错，追上怪物，夺取机器吧。","沒錯，追上怪物，奪取機器吧。",,
4832,"私の魂と忠誠はルビオナに捧げた。",,,,"我的灵魂与忠诚都已经献给鲁比欧那了，","我的靈魂與忠誠都已經獻給魯比歐那了，",,
4833,"他の何者にも手出しはさせない。",,,,"我不会让他人出手的。","我不會讓他人出手的。",,
4834,"ですが、その意思も蔦を除去しなければ無意味なものと",,,,"但是，如果不除去藤蔓的话，妳的意志也没有用了。","但是，如果不除去藤蔓的話，妳的意志也沒有用了。",,
4835,"なってしまいます。",,,,,,,
4836,"……機械は怪物自身が破壊してしまった。",,,,"……机器已经被怪物自己破坏掉了，","……機器已經被怪物自己破壞掉了，",,
4837,"機械が壊れてしまえば蔦も消えるかと思ったが、",,,,"我本来以为机器一坏，藤蔓也会消失的，","我本來以為機器一壞，藤蔓也會消失的，",,
4838,"そう都合よくは行かないか。",,,,"看来没这么顺利。","看來沒這麼順利。",,
4839,"はい。私達の手で蔦を除去することができない以上、",,,,"是的，因为我们无法自己除去藤蔓，","是的，因為我們無法自己除去藤蔓，",,
4840,"機械を修理するか作り直す必要があります。",,,,"得修理机器或是重新做一台才行。","得修理機器或是重新做一台才行。",,
4841,"一から作ることはまず不可能だろう。",,,,"不可能从头做起的，","不可能從頭做起的，",,
4842,"散逸した部品を集める方が、まだ可能性が見えそうだな。",,,,"倒是收集好零件去修理，比较有可能。","倒是收集好零件去修理，比較有可能。",,
4843,"はい。部品さえあれば館の者でも何とか修理できるかと。",,,,"嗯，只要有零件的话，馆邸的人应该可以修好。","嗯，只要有零件的話，館邸的人應該可以修好。",,
4844,"頼もしい話だ。だが、まずは私達が部品を探さなければ。",,,,"真是可靠，但首先我们得先去找零件才行。","真是可靠，但首先我們得先去找零件才行。",,
4845,"シルフが言ってたの。怪物がずっとこっちを見てたって。",,,,"希尔夫说，那个怪物一直在看我们这边。","希爾夫說，那個怪物一直在看我們這邊。",,
4846,"一体何なんだろう？",,,,"到底为什么？","到底為什麼？",,
4847,"私には貴女達の魂を狙っているように見えました。",,,,"我觉得怪物的目标是你们的灵魂。","我覺得怪物的目標是你們的靈魂。",,
4848,"魂？　どうしよう、私達食べられちゃうのかな……？",,,,"灵魂？　怎么办，我们会被吃掉吗……？","靈魂？　怎麼辦，我們會被吃掉嗎……？",,
4849,"そうならないためにも、怪物を倒して館の蔦を取り除き",,,,"为了不让他吃掉，我们得把怪物打倒，","為了不讓他吃掉，我們得把怪物打倒，",,
4850,"ましょう。",,,,"把馆邸的藤蔓去除掉。","把館邸的藤蔓去除掉。",,
4851,"そうだね。シルフもそれが一番確実だろうって。",,,,"说的也是，希尔夫也说那是最确实的办法。","說的也是，希爾夫也說那是最確實的辦法。",,
4852,"頑張らなきゃね。",,,,"我们不加油不行。","我們不加油不行。",,
4853,"まさか自分で機械を壊してしまうなんて……",,,,"没想到怪物会自己把机器给破坏掉……","沒想到怪物會自己把機器給破壞掉……",,
4854,"よほど館と魂が欲しいのでしょう。",,,,"看来他真的非常想要馆邸跟灵魂。","看來他真的非常想要館邸跟靈魂。",,
4855,"もしかしたら創造主の命令かもしれません。",,,,"也许是他的创造者的命令。","也許是他的創造者的命令。",,
4856,"じゃあ、館はずっとこのままなの？",,,,"那么，馆邸要一直维持这样吗？","那麼，館邸要一直維持這樣嗎？",,
4857,"それに怪物を造った人が来たら大変なことになっちゃう！",,,,"而且，要是创造怪物的人来了就糟糕了！","而且，要是創造怪物的人來了就糟糕了！",,
4858,"機械が無事ならよかったのですが、何か方法があれば……",,,,"机器要是没事就好了，有什么方法……","機器要是沒事就好了，有什麼方法……",,
4859,"何？　どうしたのシルフ？",,,,"什么？　希尔夫怎么了？","什麼？　希爾夫怎麼了？",,
4860,"あ……。そっか。そうだよね！",,,,"啊……，这样啊，说的也是！","啊……，這樣啊，說的也是！",,
4861,"どうかしましたか？",,,,"怎么了吗？","怎麼了嗎？",,
4862,"シルフが壊れた機械の部品を集めて修理できないかって。",,,,"希尔夫说把坏掉的机器零件收集起来，看能不能修理。","希爾夫說把壞掉的機器零件收集起來，看能不能修理。",,
4863,"なるほど。部品さえあれば、館の者に頼めば何とかなる",,,,"原来如此，只要有零件，","原來如此，只要有零件，",,
4864,"かもしれません。",,,,"拜托馆邸的人也许有办法也不一定。","拜託館邸的人也許有辦法也不一定。",,
4865,"よかった！　教えてくれてありがとう、シルフ！",,,,"太好了！　希尔夫，谢谢你告诉我们！","太好了！　希爾夫，謝謝你告訴我們！",,
4866,"ふむ。なかなかの手馴れのようだな。",,,,"哼，还真是会逃。","哼，還真是會逃。",,
4867,"館が心配です。このまま追いつけないと思うと……",,,,"我很担心馆邸，我们就这样追不上怪物的话……","我很擔心館邸，我們就這樣追不上怪物的話……",,
4868,"無用な思考だ。",,,,"想那种事没有意义，","想那種事沒有意義，",,
4869,"相手が館を破壊するつもりなら、すでにやっている。",,,,"如果对方有破坏馆邸的打算，早就已经做了。","如果對方有破壞館邸的打算，早就已經做了。",,
4870,"では、目的は別にあるということでしょうか？",,,,"那么，他的目的是其他的事吗？","那麼，他的目的是其他的事嗎？",,
4871,"さあ、あの魔物が何を考えているのかまでは知らぬ。",,,,"谁知道，我不知道那个魔物在想什么。","誰知道，我不知道那個魔物在想什麼。",,
4872,"ただ、技を磨く糧となってもらうだけだ。",,,,"我只是要让他来当磨练我技术的对手而已。","我只是要讓他來當磨練我技術的對手而已。",,
4873,"面倒なことになったな。",,,,"麻烦了。","麻煩了。",,
4874,"まさか自分で機械を壊してしまうなんて。",,,,"没想到他会自己把机器打坏。","沒想到他會自己把機器打壞。",,
4875,"魔物に命令を下した者がいる、ということだろう。",,,,"看来有人给魔物下达命令的样子。","看來有人給魔物下達命令的樣子。",,
4876,"その者は館を手に入れられればそれで良いのだ。",,,,"对魔物来说，只要有把馆邸给那个人就足够了的样子。","對魔物來說，只要有把館邸給那個人就足夠了的樣子。",,
4877,"では、急いで蔦を除去しなければ館が危険です。",,,,"那么，不赶快把藤蔓去除掉的话，馆邸很危险。","那麼，不趕快把藤蔓去除掉的話，館邸很危險。",,
4878,"ああ。だがどうする、人形よ。機械は破壊された。",,,,"嗯，但是人偶啊，该怎么办？机器已经被破坏掉了。","嗯，但是人偶啊，該怎麼辦？機器已經被破壞掉了。",,
4879,"散らばってしまった部品を集めれば、もしかしたら",,,,"把散落的零件收集起来的话，","把散落的零件收集起來的話，",,
4880,"館の者が修理してくれるかもしれません。",,,,"馆邸的人说不定可以修理。","館邸的人說不定可以修理。",,
4881,"ふむ。やってみなければわからぬこともあるか。",,,,"嗯，不试试看就不知道结果吗。","嗯，不試試看就不知道結果嗎。",,
4882,"面倒だが、これも鍛錬のうち、か……",,,,"虽然麻烦，但这也是锻炼的一环啊……","雖然麻煩，但這也是鍛鍊的一環啊……",,
4883,"ふーむ……",,,,"唔，嗯……","唔，嗯……",,
4884,"どうかしましたか？",,,,"怎么了吗？","怎麼了嗎？",,
4885,"ああ、いや。妙だなと思ってな。",,,,"不，没事，只是觉得有点奇怪。","不，沒事，只是覺得有點奇怪。",,
4886,"妙、ですか？　あの怪物の行動に何か思うところでも？",,,,"奇怪吗？你觉得那个怪物的行动是什么意思？","奇怪嗎？你覺得那個怪物的行動是什麼意思？",,
4887,"何故わざわざ怪物は館を蔦で覆い尽くしたんだろうな。",,,,"那怪物为什么还要特地让藤蔓覆盖馆邸呢？","那怪物為什麼還要特地讓藤蔓覆蓋館邸呢？",,
4888,"俺達の拠点を潰すつもりなら、壊せば済む話だ。",,,,"如果只是想摧毁我们的据点，直接破坏就好了。","如果只是想摧毀我們的據點，直接破壞就好了。",,
4889,"まさか、館を何かに利用するつもりであると？",,,,"怎么会，怪物打算把馆邸怎么样？","怎麼會，怪物打算把館邸怎麼樣？",,
4890,"そういうことだ。つまり、あの怪物を倒さない限り",,,,"所以，也就是说，不把那个怪物打倒的话，","所以，也就是說，不把那個怪物打倒的話，",,
4891,"館は危険に晒されたままってことだ。",,,,"馆邸一直都暴露在危险之下。","館邸一直都暴露在危險之下。",,
4892,"館を掌握すれば俺達の魂も思いのままにってか。",,,,"他是想说只要掌握住馆邸，就可以自由控制我们的灵魂了吗？","他是想說只要掌握住館邸，就可以自由控制我們的靈魂了嗎？",,
4893,"そいつは勘弁な話だ。",,,,"饶了我吧。","饒了我吧。",,
4894,"蔦はまだ館に残ったままですが、それを制御する機械は",,,,"但是藤蔓还留在馆邸，机器却被那个怪物自己破坏掉了。","但是藤蔓還留在館邸，機器卻被那個怪物自己破壞掉了。",,
4895,"怪物が自ら壊してしまいました。",,,,,,,
4896,"やれやれ、機械がなければあの蔦はどうにもできない。",,,,"真是的，没有机器的话就拿藤蔓没办法，该如何是好。","真是的，沒有機器的話就拿藤蔓沒辦法，該如何是好。",,
4897,"どうしたものかな。",,,,,,,
4898,"散らばった部品を集めて修理するしかないかと。",,,,"只能收集散落的零件，修理机器了。","只能收集散落的零件，修理機器了。",,
4899,"修理なんてできるのか？　結構複雑そうな機械だったが。",,,,"修得好吗？　看起来是颇复杂的机器耶。","修得好嗎？　看起來是頗複雜的機器耶。",,
4900,"館の者に頼めば、もしかしたら何とかなるかもしれません。",,,,"只要拜托馆邸的人，也许修得好。","只要拜託館邸的人，也許修得好。",,
4901,"そういうことなら、部品を集めに行くとするか。",,,,"那么，就去收集零件吧。","那麼，就去收集零件吧。",,
4902,"なかなかに愉快な怪物だ。",,,,"还真是只有趣的怪物啊。","還真是隻有趣的怪物啊。",,
4903,"理解できかねます。",,,,"我无法理解你的意思，","我無法理解你的意思，",,
4904,"あれは聖女様の館に害を為す存在です。",,,,"那个怪物可是伤害圣女大人馆邸的存在。","那個怪物可是傷害聖女大人館邸的存在。",,
4905,"焦りは失敗を招くぞ、人形。",,,,"人偶，焦急是会导致失败的。","人偶，焦急是會導致失敗的。",,
4906,"このような時こそ、心に余裕を持つことが必要だ。",,,,"越是这种时候，越要保持平常心。","越是這種時候，越要保持平常心。",,
4907,"受け入れがたいことですが、焦っても良くないことは",,,,"虽然我也想保持，我知道焦急也没用。","雖然我也想保持，我知道焦急也沒用。",,
4908,"わかります。",,,,,,,
4909,"理解したようで何より。",,,,"妳懂就好，来吧，来去追逼怪物吧。","妳懂就好，來吧，來去追逼怪物吧。",,
4910,"さあ、怪物を追い詰めるとしよう。",,,,,,,
4911,"外見も愉快なら、目的も愉快な奴であった。",,,,"既然拥有那么有趣的外表，目的也很有趣。","既然擁有那麼有趣的外表，目的也很有趣。",,
4912,"少しも愉快ではありません。",,,,"一点都不有趣，怪物自己把控制藤蔓的机器破坏掉了。","一點都不有趣，怪物自己把控制藤蔓的機器破壞掉了。",,
4913,"怪物は自らあの蔦を制御する機械を破壊しました。",,,,,,,
4914,"脅威は依然残ったままなのです。",,,,"威胁还是留下了。","威脅還是留下了。",,
4915,"ほう、死してなお愉楽を味あわせてくれるか。",,,,"哦，即使死亡也能让我尝到愉悦之味，","哦，即使死亡也能讓我嘗到愉悅之味，",,
4916,"奴を造った者には賛辞を送るべきだな。",,,,"该送份赞赏给创造他的人啊。","該送份讚賞給創造他的人啊。",,
4917,"貴方の魂が危険に曝されたままであることを",,,,"请不要忘记你的灵魂也曝露在危险之下。","請不要忘記你的靈魂也曝露在危險之下。",,
4918,"忘れないでください。",,,,,,,
4919,"ふむ、魂を囚われることは遺憾であるな。",,,,"嗯，灵魂被关起来的话就不好了。","嗯，靈魂被關起來的話就不好了。",,
4920,"その破壊された機械を修理することはできないのか？",,,,"不能把那个被破坏掉的机器修好吗？","不能把那個被破壞掉的機器修好嗎？",,
4921,"散らばった部品を集めれば、館の者でも修理が可能かと。",,,,"把散落的零件收集起来的话，馆邸的人也许能修。","把散落的零件收集起來的話，館邸的人也許能修。",,
4922,"なるほど。本当に最後まで楽しませてくれる。",,,,"原来如此，那就让我享受到最后吧。","原來如此，那就讓我享受到最後吧。",,
4923,"何なんだ、あの怪物は！　聖女様の館に侵攻するなんて！",,,,"那个怪物，到底是什么！　竟然攻打圣女大人的馆邸！","那個怪物，到底是什麼！　竟然攻打聖女大人的館邸！",,
4924,"落ち着いてください。",,,,"冷静一点。","冷靜一點。",,
4925,"……！",,,,"……！","……！",,
4926,"あ、あぁ。すまない、このような事は初めてでね。",,,,"啊，啊。对不起，因为第一次遇到这种事。","啊，啊。對不起，因為第一次遇到這種事。",,
4927,"お嬢さんにみっともない姿を見せてしまった。",,,,"让大小姐见丑了。","讓大小姐見醜了。",,
4928,"いえ、予想外の事態ですから仕方のないことかと。",,,,"不会，毕竟是突发状况。","不會，畢竟是突發狀況。",,
4929,"だからといって、ずっとお嬢さんにこんな姿を見せ続ける",,,,"就算是突发状况，也不能让大小姐一直看到我这个样子。","就算是突發狀況，也不能讓大小姐一直看到我這個樣子。",,
4930,"わけにもいかない。",,,,,,,
4931,"事態を解決するためにも、早く怪物を捕まえなければ。",,,,"为了解决这个状况，必须尽早抓到那个怪物才行。","為了解決這個狀況，必須盡早抓到那個怪物才行。",,
4932,"怪物は倒したけれど、館を覆う蔦は残ったままか。",,,,"虽然已经打倒怪物了，但是藤蔓还是覆盖着馆邸啊。","雖然已經打倒怪物了，但是藤蔓還是覆蓋著館邸啊。",,
4933,"蔦を制御する機械は怪物が壊してしまったし、",,,,"控制藤蔓的机器也被怪物破坏掉了，","控制藤蔓的機器也被怪物破壞掉了，",,
4934,"事態が解決したとは言い難いね。",,,,"看来光打倒怪物也不算解决这次事件。","看來光打倒怪物也不算解決這次事件。",,
4935,"このまま蔦を残しておけばどうなるか……。",,,,"如果就这样让藤蔓留着的话，会怎么样呢……。","如果就這樣讓藤蔓留著的話，會怎麼樣呢……。",,
4936,"可能性の一つだけれど、機械が壊れた以上は館に集う魂を",,,,"虽然只是可能会发生的状况之一，但机器既然已经被破坏掉了，","雖然只是可能會發生的狀況之一，但機器既然已經被破壞掉了，",,
4937,"捕らえるかもしれない。",,,,"那馆邸内的灵魂可能都被抓住了也不一定。","那館邸內的靈魂可能都被抓住了也不一定。",,
4938,"だとしたら、急いであの蔦を何とかしなければなりません。",,,,"那么，得赶快处理掉那个藤蔓才行啊。","那麼，得趕快處理掉那個藤蔓才行啊。",,
4939,"でも、どうすれば……",,,,"但是，该怎么做呢……。","但是，該怎麼做呢……。",,
4940,"散らばった部品を集めれば私達の手で修理できるだろう。",,,,"只要把散落在各地的零件收集起来的话，我们应该也可以修好。","只要把散落在各地的零件收集起來的話，我們應該也可以修好。",,
4941,"可能なのですね。よかった……",,,,"你修得好吗，那太好了……。","你修得好嗎，那太好了……。",,
4942,"さあ、お嬢さん。急いで部品を集めにいくよ。",,,,"走吧，大小姐。快点去收集零件吧。","走吧，大小姐。快點去收集零件吧。",,
4943,"奇妙な生物だ。",,,,"真是奇怪的生物，","真是奇怪的生物，",,
4944,"いや、生物であるという認識そのものが間違っているか。",,,,"不对，说他是生物本身就是个错误吗？","不對，說他是生物本身就是個錯誤嗎？",,
4945,"そうですね。今までの魔物とは違うと思います。",,,,"说的也是，我觉得他跟至今为止的魔物不一样。","說的也是，我覺得他跟至今為止的魔物不一樣。",,
4946,"お主でもそう感じるということは、やはり只の怪異では",,,,"妳也这么想吗，果然不只是单纯的诡异。","妳也這麼想嗎，果然不只是單純的詭異。",,
4947,"なさそうだな。",,,,,,,
4948,"はい、館の蔦のこともありますので。",,,,"是的，还有馆邸的藤蔓。","是的，還有館邸的藤蔓。",,
4949,"館のことは気掛かりだが、焦りは禁物だな。",,,,"虽然我也担心馆邸，但是也不是焦急。","雖然我也擔心館邸，但是也不是焦急。",,
4950,"油断せずに行こう。",,,,"小心追过去吧。","小心追過去吧。",,
4951,"魂を奪って何をする目論見だったかはわからぬが、",,,,"不知道他们夺走灵魂有什么计划，","不知道他們奪走靈魂有什麼計劃，",,
4952,"奴等の思い通りになどさせんわ。",,,,"但是我不会让他们得逞的。","但是我不會讓他們得逞的。",,
4953,"ですが、まだ安心することはできません。",,,,"但是，还不能安心。","但是，還不能安心。",,
4954,"わかっておる。館を覆ったままの蔦をどうにかせねば、",,,,"我知道，不把覆在馆邸上的藤蔓解决掉的话，","我知道，不把覆在館邸上的藤蔓解決掉的話，",,
4955,"脅威が去ったとはいえぬ。",,,,"威胁还是存在。","威脅還是存在。",,
4956,"だが、どうしたものか。",,,,"但是，该怎么办才好我没有修理机器的技术。","但是，該怎麼辦才好我沒有修理機器的技術。",,
4957,"生憎と機械修理の技術は持ち合わせておらんのだ。",,,,,,,
4958,"壊された衝撃で飛び散った部品を集めましょう。",,,,"受到破坏的冲击，零件都飞散了。","受到破壞的衝擊，零件都飛散了。",,
4959,"ほう、何か妙案があるのだな。",,,,"哦，看来妳有什么好主意的样子。","哦，看來妳有什麼好主意的樣子。",,
4960,"はい、部品を集めれば館の者でも修理ができるかと。",,,,"是的，只要把零件收集起来，馆邸的人应该可以修好。","是的，只要把零件收集起來，館邸的人應該可以修好。",,
4961,"以前、館にある機械を直していたのを見た事があるので。",,,,"我以前看过他们修好馆内的机器。","我以前看過他們修好館內的機器。",,
4962,"そういうことならば、早速集めに行くとしようか。",,,,"那么，就马上出发去收集吧。","那麼，就馬上出發去收集吧。",,
4963,"うふふ。退屈しないわね、この世界は。",,,,"呵呵呵，这个世界真的不会让我感到无聊耶。","呵呵呵，這個世界真的不會讓我感到無聊耶。",,
4964,"ねぇ、あのまま館を放置したらどうなるか観察させてよ。",,,,"喂，就这样放着不要管馆邸了，来观察看看会变成怎样吧。","喂，就這樣放著不要管館邸了，來觀察看看會變成怎樣吧。",,
4965,"駄目です。館をあのままにしておくわけにはいきません。",,,,"不可以，不能就这样放着不管。","不可以，不能就這樣放著不管。",,
4966,"こういう時は素直に現状を受け入れて楽しめばいいのよ。",,,,"这种时候还是乖乖接受现状，享受就好了啊。","這種時候還是乖乖接受現狀，享受就好了啊。",,
4967,"そうはいきません。",,,,"不可以这样，","不可以這樣，",,
4968,"急がなければどんな被害が出るかわかりません。",,,,"不赶快解决的话，不知道会有什么灾害。","不趕快解決的話，不知道會有什麼災害。",,
4969,"お堅い人形さんね。",,,,"真是认真的人偶小姐。","真是認真的人偶小姐。",,
4970,"ま、いいわ。",,,,"算了，反正我去找怪物先生们去玩就好。","算了，反正我去找怪物先生們去玩就好。",,
4971,"怪物さんに遊んでもらえばいいだけの話だもの。",,,,,,,
4972,"魂の収集なんて、面白い事を思いつくヤツもいるものね。",,,,"竟然想要收集灵魂，还真有想出这种有趣事情的家伙在呀。","竟然想要收集靈魂，還真有想出這種有趣事情的傢伙在呀。",,
4973,"怪物さんを作った人に会ってみたかったかも。",,,,"我可能想见见那个创造出这怪物的人。","我可能想見見那個創造出這怪物的人。",,
4974,"そのために館を犠牲にすることはできませんし、",,,,"不能为了让妳见那个人，而牺牲馆邸，","不能為了讓妳見那個人，而犧牲館邸，",,
4975,"私達に何か影響が出ないとも限りません。",,,,"而且也不能确定那个藤蔓不会对我们造成影响。","而且也不能確定那個藤蔓不會對我們造成影響。",,
4976,"あっそ。",,,,"喔，但是控制藤蔓的机器已经被怪物破坏了啊，","喔，但是控制藤蔓的機器已經被怪物破壞了啊，",,
4977,"でも、蔦を制御する機械は怪物さんが破壊しちゃったわよ。",,,,"要怎办？","要怎辦？",,
4978,"どうするの？",,,,,,,
4979,"館の者に頼みます。",,,,"我可以拜托馆邸的人看看，","我可以拜託館邸的人看看，",,
4980,"部品を集めれば修理ができるかもしれません。",,,,"收集好零件，也许就能修好。","收集好零件，也許就能修好。",,
4981,"アタシとしてはこのままでも面白いんだけど、",,,,"对我来说维持现状也很有趣，","對我來說維持現狀也很有趣，",,
4982,"それで支障が出るのは困るわね。",,,,"但因此造成我的行动有碍就不好了。","但因此造成我的行動有礙就不好了。",,
4983,"でしたら、部品を収集して館を元に戻しましょう。",,,,"那么，我们就收集好零件回去馆邸吧。","那麼，我們就收集好零件回去館邸吧。",,
4984,"ま、しょうがないか。",,,,"好吧，没办法了。","好吧，沒辦法了。",,
4985,"あとでその機械をアタシにくれればいいわ。",,,,"用完之后只要把那个机器给我就好。","用完之後只要把那個機器給我就好。",,
4986,"あははははははは。",,,,"啊哈哈哈哈哈哈哈。","啊哈哈哈哈哈哈哈。",,
4987,"あいつ、一体何者なんだろう？",,,,"那家伙到底是什么人？","那傢伙到底是什麼人？",,
4988,"正体はわかりませんが、館を攻撃しようとしていることは",,,,"不知道他是谁，但是他确实是打算攻击馆邸。","不知道他是誰，但是他確實是打算攻擊館邸。",,
4989,"確かです。",,,,,,,
4990,"館が壊されたらどうなっちゃうの？",,,,"如果馆邸被破坏的话，会怎么样？","如果館邸被破壞的話，會怎麼樣？",,
4991,"すみません、このような事は初めてなのでわかりません。",,,,"对不起，第一次发生这种事，所以我不知道。","對不起，第一次發生這種事，所以我不知道。",,
4992,"ですが、何かしらの悪い影響が出るだろうと思います。",,,,"但是，我觉得应该会对我们造成不好的影响。","但是，我覺得應該會對我們造成不好的影響。",,
4993,"なら、急いであいつから機械を奪わないとね！",,,,"那么，不快点把机器抢来不行！","那麼，不快點把機器搶來不行！",,
4994,"魂って、集めるといいことがあるのかな？",,,,"收集灵魂会有什么好事吗？","收集靈魂會有什麼好事嗎？",,
4995,"どうなのでしょう。",,,,"这我也不清楚，但是馆邸确实是战士们灵魂的聚集场所，","這我也不清楚，但是館邸確實是戰士們靈魂的聚集場所，",,
4996,"館は確かに戦士の魂が集う場所ですが、集まったから",,,,"就算聚集在一起也没有发生什么事啊……","就算聚集在一起也沒有發生什麼事啊……",,
4997,"といって何かが起きているわけではありませんし……",,,,,,,
4998,"不思議な話だね。",,,,"真是不可思议的事，但是那个怪物目标是馆邸没错啊。","真是不可思議的事，但是那個怪物目標是館邸沒錯啊。",,
4999,"でも、あの怪物が館を狙ったのは事実だしね。",,,,,,,
5000,"早く残った蔦を何とかしないと、どんなことになるか",,,,"不快点把剩下的藤蔓解决掉的话，不知道会发生什么事！","不快點把剩下的藤蔓解決掉的話，不知道會發生什麼事！",,
5001,"わからないよ！",,,,,,,
5002,"そうなのですが、機械は怪物が壊してしまいました……",,,,"是没错，但是机器已经被怪物破坏掉了……","是沒錯，但是機器已經被怪物破壞掉了……",,
5003,"あああ、そうだった！　うーん、どうしよう。",,,,"啊啊啊，对厚！　呜嗯～该怎么办。","啊啊啊，對厚！　嗚嗯～該怎麼辦。",,
5004,"部品を集めたら、修理とかできたりしない、よね？",,,,"收集好零件的话，应该可以，修理吧？","收集好零件的話，應該可以，修理吧？",,
5005,"……館の者に頼んでみます。",,,,"……我拜托馆邸的人看看，","……我拜託館邸的人看看，",,
5006,"例えできなくても、何もしないよりは良いかと。",,,,"就算修不好也比什么都不做好。","就算修不好也比什麼都不做好。",,
5007,"了解！　さ、セレスシャル、もう一仕事だ！",,,,"了解！　来吧，瑟雷斯夏尔，再一件工作！","了解！　來吧，瑟雷斯夏爾，再一件工作！",,
5008,"はー、どこまで逃げる気なんだろう。",,,,"唉，到底打算逃到哪里去啊。","唉，到底打算逃到哪裡去啊。",,
5009,"私達と戦う意志は無いということでしょうか。",,,,"那怪物是不是没有跟我们战斗的打算。","那怪物是不是沒有跟我們戰鬥的打算。",,
5010,"そうは言うけど、館をあんなふうにしちゃったのは",,,,"就算那怪物没有打算跟我们战斗，","就算那怪物沒有打算跟我們戰鬥，",,
5011,"あの怪物だし。",,,,"但把馆邸弄成那样的，也是那个怪物。","但把館邸弄成那樣的，也是那個怪物。",,
5012,"追い掛けないわけにもいかないでしょ。",,,,"我们也不能不追他吧？","我們也不能不追他吧？",,
5013,"はい。館をあのままにしてはおけません。",,,,"嗯，不能放任馆邸变成那个样子。","嗯，不能放任館邸變成那個樣子。",,
5014,"どんな影響が出るかもわからないしね。行こう。",,,,"也不知道会有什么影响，走吧。","也不知道會有什麼影響，走吧。",,
5015,"怪物を作った技術者は、生き物の魂を何かに使う技術を",,,,"制造出怪物的人，是不是拥有可以把生物灵魂，","製造出怪物的人，是不是擁有可以把生物靈魂，",,
5016,"持ってるってことなのかしら？",,,,"使用在什么方面的技术啊？","使用在什麼方面的技術啊？",,
5017,"どの様なものかはわかりませんが、本当にそんなことが",,,,"不知道是什么样的东西，","不知道是什麼樣的東西，",,
