"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
377,"エネルギーチューブ",376,3,,0,,"item_c_e042.swf",1,"cutinchara01_skl00.swf","「鋼鉄の守護者」イベント用収集アイテム(イベント終了後に消失します)",,"Energy Tube","Tube d'énergie",,"能量软管","能量軟管",,,"Collectible in the event <Fullmetal Guardian> (deleted after the event)","Item à collectionner durant l'événement <Gardien d'Acier> (disparaît lorsque l'événement prend fin).",,"“钢铁的守护者”活动用收集道具(活动结束後消失)","「鋼鐵的守護者」活動用收集道具(活動結束後消失)",,
378,"シリンダー",377,3,,0,,"item_c_e043.swf",1,"cutinchara01_skl00.swf","「鋼鉄の守護者」イベント用収集アイテム(イベント終了後に消失します)",,"Cylinder","Cylindre",,"气缸","氣缸",,,"Collectible in the event <Fullmetal Guardian> (deleted after the event)","Item à collectionner durant l'événement <Gardien d'Acier> (disparaît lorsque l'événement prend fin).",,"“钢铁的守护者”活动用收集道具(活动结束後消失)","「鋼鐵的守護者」活動用收集道具(活動結束後消失)",,
379,"プレゼントボックス",378,1,,0,,"item_c_e044.swf",1,"cutinchara01_skl00.swf","クエストで使用すると双角の魔物イベント用クエストを取得します(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Gift Box","Boîte à Cadeau",,"礼物箱","禮物盒",,,"Use at the quest area to trigger the Two Horn Monster quest (deleted after the event)","Lorsque vous l'utilisez lors d'une Quête, vous obtenez une Quête de l'Événement <Démon Cornu> (disparaît lorsque l'événement prend fin).",,"在任务区使用就可以得到双角的魔物活动任务。(活动结束後消失)","在任務區使用就可以得到雙角的魔物活動任務。(活動結束後消失)",,
380,"キャンディケイン",379,3,,0,,"item_c_e045.swf",1,"cutinchara01_skl00.swf","双角の魔物イベント用収集アイテム(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Candy Cane","Sucre d'Orge",0,"拐杖糖","拐杖糖",,,"Collectible in the Two Horn Monster event (deleted after the event)","Item à collectionner durant l'événement <Démon Cornu> (disparaît lorsque l'événement prend fin).",,"双角的魔物活动用收集道具。(活动结束後消失)","雙角的魔物活動用收集道具。(活動結束後消失)",,
381,"ビクトリーコイン",380,3,,0,,"item_z_c000.swf",1,"cutinchara01_skl00.swf","2015年人気投票で優勝したキャラクターの新リザルト画面選択アイテムを取得できます（新リザルト画面選択アイテム実装時に消失します）",,"Victory Coin","Pièce de la Victoire",,"胜利硬币","勝利硬幣",,,"Use to get the diagram of the most popular character of Unlight for 2015 (deleted after you select a new diagram)","Vous pouvez obtenir un accessoire se trouvant sur la page annonçant les nouveaux résultats du concours de popularité de l'année 2015 (la page s'effacera une fois votre choix fait).",,"可取得2015年人气投票优胜角色结算图(选择新结算画面後消失)","可取得2015年人氣投票優勝角色結算圖(選擇新結算畫面後消失)",,
382,"ドーナツケース",381,1,,0,,"item_c_e046.swf",1,"cutinchara01_skl00.swf","クエストで使用すると「導都の機械蝶」イベントを取得します(イベント終了後に消失します)",,"Donut Box","Boîte à donuts",,"甜甜圈盒","甜甜圈盒",,,"Use this item during a quest to obtain the event quest <Pandemonium's Mech Butterflies>. (deleted after the event)","Lorsque vous l'utilisez lors de la Quête, vous obtenez l'Événement <Papillons mécaniques de la Capitale> (disparaît lorsque l'événement prend fin).",,"使用後可取得“导都的机械蝶”活动专属任务。(活动结束後消失)","使用後可取得「導都的機械蝶」活動專屬任務。(活動結束後消失)",,
383,"白い機械蝶",382,3,,0,,"item_c_e047.swf",1,"cutinchara01_skl00.swf","「導都の機械蝶」イベント用収集アイテム(イベント終了後に消失します)",,"White Mech Butterfly","Papillons mécaniques blancs",,"白色机械蝶","白色機械蝶",,,"Collectible in the event <Pandemonium's Mech Butterflies> (deleted after the event)","Item propre à l'Événement <Papillons mécaniques de la Capitale> (disparaît lorsque l'événement prend fin).",,"“导都的机械蝶”收集道具(活动结束後消失)","「導都的機械蝶」收集道具(活動結束後消失)",,
384,"カカオ",383,3,,0,,"item_c_e048.swf",1,"cutinchara01_skl00.swf","「にじり寄る巨岩」イベント用収集アイテム(イベント終了後に消失します)",,"Cocoa Fruit","Fève de Cacao",,"可可果","可可果",,,"Collectible for [Approaching the Monolith] (deleted after the event)","Item propre à l'Événement <Roc en approche> (disparaît lorsque l'événement prend fin).",,"“逐渐逼近的巨岩”收集道具(活动结束後消失)","「逐漸逼近的巨岩」收集道具(活動結束後消失)",,
385,"完熟カカオ",384,3,,0,,"item_c_e048.swf",2,"cutinchara01_skl00.swf","「にじり寄る巨岩」イベント用収集アイテム(イベント終了後に消失します)",,"Ripe Cocoa Fruit","Fève de Cacao mûre",,"成熟可可果","成熟可可果",,,"Collectible for [Approaching the Monolith] (deleted after the event)","Item propre à l'Événement <Roc en approche> (disparaît lorsque l'événement prend fin).",,"“逐渐逼近的巨岩”收集道具(活动结束後消失)","「逐漸逼近的巨岩」收集道具(活動結束後消失)",,
386,"ホワイトカード",385,3,,0,,"item_c_e050.swf",1,"cutinchara01_skl00.swf","「白い贈り物」イベント用収集アイテム(イベント終了後に消失します)",,"White Cards","Carte Blanche",,"白色卡片","白色卡片",,,"Collectibles for the [White Rewards] (Not available after event ends)","Item propre à l'Événement <Cadeau Blanc> (disparaît lorsque l'événement prend fin).",,"“白色赠礼”收集道具(活动结束後消失)","「白色贈禮」收集道具(活動結束後消失)",,
387,"青いプレゼントボックス",386,1,,0,,"item_c_e051.swf",1,"cutinchara01_skl00.swf","クエストで使用すると「白い贈り物」イベント用クエストを取得します(イベント終了後に消失します)",,"Blue Gift Box","Boîte à Cadeau Bleue",,"蓝色礼物箱","藍色禮物箱",,,"When used in the mission area, players may receive the [White Reward] missions. (deleted after the event)","Vous obtenez l'Événement <Cadeau Blanc> lorsque vous l'utilisez lors d'une Quête (disparaît lorsque l'événement prend fin).",,"在任务区使用後,就可以得到“白色情人节”的任务。(活动结束後消失)","在任務區使用後,就可以得到「白色贈禮」的任務。(活動結束後消失)",,
388,"赤涙の仮面",387,3,,0,,"item_c_e060.swf",1,"cutinchara01_skl00.swf","「鏡合わせの冥闇」イベント用収集アイテム(イベント終了後に消失します)",,,"Masque aux Larmes Rouges",,"红泪的面具","紅淚的面具",,,,"Item propre à l'Événement <Reflet Obscur> (disparaît lorsque l'événement prend fin).",,"“冥闇之镜影”收集道具(活动结束後消失)","「冥闇之鏡影」收集道具(活動結束後消失)",,
389,"緑涙の仮面",388,3,,0,,"item_c_e060.swf",2,"cutinchara01_skl00.swf","「鏡合わせの冥闇」イベント用収集アイテム(イベント終了後に消失します)",,,"Masque aux Larmes Vertes",,"绿泪的面具","綠淚的面具",,,,"Item propre à l'Événement <Reflet Obscur> (disparaît lorsque l'événement prend fin).",,"“冥闇之镜影”收集道具(活动结束後消失)","「冥闇之鏡影」收集道具(活動結束後消失)",,
390,"黄涙の仮面",389,3,,0,,"item_c_e060.swf",3,"cutinchara01_skl00.swf","「鏡合わせの冥闇」イベント用収集アイテム(イベント終了後に消失します)",,,"Masque aux Larmes Dorées",,"黄泪的面具","黃淚的面具",,,,"Item propre à l'Événement <Reflet Obscur> (disparaît lorsque l'événement prend fin).",,"“冥闇之镜影”收集道具(活动结束後消失)","「冥闇之鏡影」收集道具(活動結束後消失)",,
391,"黒の招待状",390,1,,0,,"item_c_e061.swf",1,"cutinchara01_skl00.swf","クエストで使用すると「歪みの断罪者」イベント用クエストを取得します(イベント終了後に消失します)",,,,,"黑色招待卷","黑色招待卷",,,,,,"在任务区使用後,就可以得到“歪曲的制裁者”的任务。(活动结束後消失)","在任務區使用後,就可以得到「歪曲的制裁者」的任務。(活動結束後消失)",,
392,"勝者のティーカップ",391,3,,0,,"item_c_e062.swf",1,"cutinchara01_skl00.swf","「歪みの断罪者」イベント用収集アイテム(イベント終了後に消失します)",,,,,"胜者茶杯","勝者茶杯",,,,,,"“歪曲的制裁者”收集道具(活动结束後消失)","「歪曲的制裁者」收集道具(活動結束後消失)",,
393,"ちまき",392,3,,0,,"item_c_e063.swf",2,"cutinchara01_skl00.swf","「飢えた悪龍」イベント用収集アイテム(イベント終了後に消失します)",,,,,"粽子","粽子",,,,,," “饥饿的恶龙”收集道具(活动结束後消失)","「飢餓的惡龍」收集道具(活動結束後消失)",,
394,"硝子玉（赤)",393,3,,0,,"item_c_e064.swf",1,"cutinchara01_skl00.swf","「幽玄の艶衣」イベント用収集アイテム(イベント終了後に消失します)",,,,,"玻璃珠(红)","玻璃珠(紅)",,,,,,"“幽玄的艳衣”活动收集道具(活动结束后消失)","「幽玄的豔衣」活動收集道具(活動結束後消失)",,
395,"硝子玉（黒)",394,3,,0,,"item_c_e064.swf",2,"cutinchara01_skl00.swf","「幽玄の艶衣」イベント用収集アイテム(イベント終了後に消失します)",,,,,"玻璃珠(黑)","玻璃珠(黑)",,,,,,"“幽玄的艳衣”活动收集道具(活动结束后消失)","「幽玄的豔衣」活動收集道具(活動結束後消失)",,
396,"硝子玉（金)",395,3,,0,,"item_c_e064.swf",3,"cutinchara01_skl00.swf","「幽玄の艶衣」イベント用収集アイテム(イベント終了後に消失します)",,,,,"玻璃珠(金)","玻璃珠(金)",,,,,,"“幽玄的艳衣”活动收集道具(活动结束后消失)","「幽玄的豔衣」活動收集道具(活動結束後消失)",,
397,"アルファタグ",396,3,,0,,"item_c_e065.swf",1,"cutinchara01_skl00.swf","「偽りの首級」イベント用収集アイテム(イベント終了後に消失します)",,,,,"α军牌","α軍牌",,,,,,"“虚假的首级”活动收集道具(活动结束后消失)","「虛假的首級」活動收集道具(活動結束後消失)",,
398,"ベータタグ",397,3,,0,,"item_c_e065.swf",2,"cutinchara01_skl00.swf","「偽りの首級」イベント用収集アイテム(イベント終了後に消失します)",,,,,"β军牌","β軍牌",,,,,,"“虚假的首级”活动收集道具(活动结束后消失)","「虛假的首級」活動收集道具(活動結束後消失)",,
399,"ガンマタグ",398,3,,0,,"item_c_e065.swf",3,"cutinchara01_skl00.swf","「偽りの首級」イベント用収集アイテム(イベント終了後に消失します)",,,,,"γ军牌","γ軍牌",,,,,,"“虚假的首级”活动收集道具(活动结束后消失)","「虛假的首級」活動收集道具(活動結束後消失)",,
400,"月長石",399,3,,0,,"item_c_e066.swf",1,"cutinchara01_skl00.swf","「万斛の魔物」イベント用収集アイテム(イベント終了後に消失します)",,,,,"月长石","月長石",,,,,,"“万斛魔物”活动收集道具(活动结束后消失)","「萬斛魔物」活動收集道具(活動結束後消失)",,
401,"黒いボルト",400,3,,0,,"item_c_e067.swf",1,"cutinchara01_skl00.swf","「彼方からの侵略」イベント用収集アイテム(イベント終了後に消失します)",,,,,"黑色螺丝","黑色螺絲",,,,,,"“来自远方的侵略”活动收集道具(活动结束后消失)","「來自遠方的侵略」活動收集道具(活動結束後消失)",,
402,"エヴァリスト投票券",401,2,,0,,"item_z_d001.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Evarist","Bulletin Evarist",,"艾伯李斯特投票券","艾伯李斯特投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
403,"アイザック投票券",402,2,,0,,"item_z_d002.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Izac","Bulletin Isaac",,"艾依查库投票券","艾依查庫投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
404,"グリュンワルド投票券",403,2,,0,,"item_z_d003.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Grunwald","Bulletin Grunwald",,"古鲁瓦尔多投票券","古魯瓦爾多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
405,"アベル投票券",404,2,,0,,"item_z_d004.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Abel","Bulletin Abel",,"阿贝尔投票券","阿貝爾投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
406,"レオン投票券",405,2,,0,,"item_z_d005.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Leon","Bulletin Leon",,"利恩投票券","利恩投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
407,"クレーニヒ投票券",406,2,,0,,"item_z_d006.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Kronig","Bulletin Kronig",,"库勒尼西投票券","庫勒尼西投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
408,"ジェッド投票券",407,2,,0,,"item_z_d007.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Jead","Bulletin Jead",,"杰多投票券","傑多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
409,"アーチボルト投票券",408,2,,0,,"item_z_d008.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Archibald","Bulletin Archibald",,"阿奇波尔多投票券","阿奇波爾多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
410,"マックス投票券",409,2,,0,,"item_z_d009.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Max","Bulletin Max",,"马库斯投票券","馬庫斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
411,"ブレイズ投票券",410,2,,0,,"item_z_d010.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Blaise","Bulletin Blaise",,"布列依斯投票券","布列依斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
412,"シェリ投票券",411,2,,0,,"item_z_d011.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Sheri","Bulletin Sheri",,"雪莉投票券","雪莉投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
413,"アイン投票券",412,2,,0,,"item_z_d012.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Ayn","Bulletin Ayn",,"艾茵投票券","艾茵投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
414,"ベルンハルト投票券",413,2,,0,,"item_z_d013.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Bernhard","Bulletin Bernhard",,"伯恩哈德投票券","伯恩哈德投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
415,"フリードリヒ投票券",414,2,,0,,"item_z_d014.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Friedrich","Bulletin Friedrich",,"弗雷特里西投票券","弗雷特里西投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
416,"マルグリッド投票券",415,2,,0,,"item_z_d015.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Marguerite","Bulletin Marguerite",,"玛格莉特投票券","瑪格莉特投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
417,"ドニタ投票券",416,2,,0,,"item_z_d016.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Donita","Bulletin Donita",,"多妮妲投票券","多妮妲投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
418,"スプラート投票券",417,2,,0,,"item_z_d017.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Sprout","Bulletin Sprout",,"史普拉多投票券","史普拉多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
419,"ベリンダ投票券",418,2,,0,,"item_z_d018.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Belinda","Bulletin Belinda",,"贝琳达投票券","貝琳達投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
420,"ロッソ投票券",419,2,,0,,"item_z_d019.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Rosso","Bulletin Rosso",,"罗索投票券","羅索投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
421,"エイダ投票券",420,2,,0,,"item_z_d020.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Ada","Bulletin Ada",,"艾妲投票券","艾妲投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
422,"メレン投票券",421,2,,0,,"item_z_d021.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Melen","Bulletin Melen",,"梅伦投票券","梅倫投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
423,"サルガド投票券",422,2,,0,,"item_z_d022.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Salgado","Bulletin Salgado",,"萨尔卡多投票券","薩爾卡多投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
424,"レッドグレイヴ投票券",423,2,,0,,"item_z_d023.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Redgrave","Bulletin Redgrave",,"蕾格烈芙投票券","蕾格烈芙投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
425,"リーズ投票券",424,2,,0,,"item_z_d024.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Riesz","Bulletin Riesz",,"里斯投票券","里斯投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
426,"ミリアン投票券",425,2,,0,,"item_z_d025.swf",1,"cutinchara01_skl00.swf","2016Unlightキャラクター人気投票の投票券。投票期間終了後はホワイトヒース3としても使える。",,"Ballot for Milian","Bulletin Milian",,"米利安投票券","米利安投票券",,,"Ballot for the election of the most popular character of Unlight, 2014After the election period, a ballot can be used as a White Health 3.","Bulletin de vote pour les élections du personnage le plus populaire d'Unlight, année 2014. Vous pouvez l'utiliser comme ‘Landes Brumeuses 3' après la fin de la période de vote.",,"2016Unlight角色人气投票的投票券。投票期间结束后投票券可当白色石楠3使用。","2016Unlight角色人氣投票的投票券。投票期間結束後投票券可當白色石楠3使用。",,
